Batman Begins,Average Rating: 7.7/10,2005,"{""itunes""=>[""271469254""]}",Action & Adventure,"[""Christian Bale"", ""Liam Neeson"", ""Katie Holmes"", ""Gary Oldman"", ""Michael Caine"", ""Cillian Murphy"", ""Tom Wilkinson"", ""Morgan Freeman"", ""Rutger Hauer"", ""Ken Watanabe""]","[""Emma Thomas"", ""Charles Roven"", ""Larry Franco""]","[""Christopher Nolan""]"
Inception,Average Rating: 8.1/10,2010,"{""itunes""=>[""400763833""]}",Action & Adventure,"[""Leonardo DiCaprio"", ""Ken Watanabe"", ""Joseph Gordon-Levitt"", ""Marion Cotillard"", ""Ellen Page"", ""Tom Hardy"", ""Cillian Murphy"", ""Tom Berenger"", ""Michael Caine""]","[""Emma Thomas"", ""Christopher Nolan""]","[""Christopher Nolan""]"
Baby Driver,Average Rating: 8.0/10,2017,"{""itunes""=>[""1239575681""]}",Action & Adventure,"[""Ansel Elgort"", ""Kevin Spacey"", ""Lily James"", ""Jon Bernthal"", ""Jon Hamm"", ""Jamie Foxx"", ""Eiza González"", ""Flea"", ""Sky Ferreira"", ""Lanny Joon""]","[""Nira Park"", ""Tim Bevan"", ""Eric Fellner""]","[""Edgar Wright""]"
Kingsman: The Secret Service,Average Rating: 6.8/10,2015,"{""itunes""=>[""957056432""]}",Action & Adventure,"[""Colin Firth"", ""Samuel L. Jackson"", ""Mark Strong"", ""Taron Egerton"", ""Michael Caine""]",[],"[""Matthew Vaughn""]"
Spectre,Average Rating: 6.4/10,2015,"{""itunes""=>[""1042425776""]}",Action & Adventure,"[""Dave Bautista"", ""Monica Bellucci"", ""Daniel Craig"", ""Ralph Fiennes"", ""Naomie Harris"", ""Rory Kinnear"", ""Andrew Scott"", ""Léa Seydoux"", ""Christoph Waltz"", ""Ben Whishaw""]","[""Barbara Broccoli"", ""Michael G. Wilson""]","[""Sam Mendes""]"
The Matrix,Average Rating: 7.6/10,1999,"{""itunes""=>[""271469518""]}",Sci-Fi & Fantasy,"[""Keanu Reeves"", ""Laurence Fishburne"", ""Carrie-Anne Moss"", ""Hugo Weaving"", ""Gloria Foster"", ""Joe Pantoliano""]","[""Joel Silver""]","[""Larry Wachowski"", ""Andy Wachowski""]"
Sherlock Holmes,Average Rating: 6.2/10,2009,"{""itunes""=>[""350751236""]}",Action & Adventure,"[""Robert Downey Jr."", ""Jude Law"", ""Rachel McAdams"", ""Mark Strong"", ""Eddie Marsan"", ""Kelly Reilly""]","[""Susan Downey"", ""Dan Lin"", ""Joel Silver"", ""Lionel Wigram""]","[""Guy Ritchie""]"
Captain Phillips,Average Rating: 8.3/10,2013,"{""itunes""=>[""714858093""]}",Action & Adventure,"[""Tom Hanks"", ""Barkhad Abdi"", ""Barkhad Abdirahman"", ""Faysal Ahmed"", ""Mahat M. Ali"", ""Michael Chernus"", ""Corey Johnson"", ""Max Martini"", ""Chris Mulkey"", ""Yul Vazquez"", ""David Warshofsky"", """", """", """", """"]","[""Scott Rudin"", ""Dana Brunetti"", ""Michael De Luca""]","[""Paul Greengrass""]"
"Harry Potter and the Deathly Hallows, Part 1",Average Rating: 7.2/10,2010,"{""itunes""=>[""421072264""]}",Kids & Family,"[""Daniel Radcliffe"", ""Rupert Grint"", ""Emma Watson"", ""Helena Bonham Carter"", ""Robbie Coltrane"", ""Warwick Davis"", ""Ralph Fiennes"", ""Michael Gambon"", ""Brendan Gleeson"", ""Alan Rickman""]","[""David Heyman"", ""David Barron"", ""J.K. Rowling""]","[""David Yates""]"
Harry Potter and the Order of the Phoenix,Average Rating: 6.9/10,2007,"{""itunes""=>[""273696792""]}",Kids & Family,"[""Daniel Radcliffe"", ""Emma Watson"", ""Rupert Grint"", ""Gary Oldman"", ""Jason Isaacs"", ""Helena Bonham Carter"", ""Michael Gambon"", ""Imelda Staunton"", ""Ralph Fiennes""]","[""David Barron"", ""David Heyman""]","[""David Yates""]"
The Dark Knight,Average Rating: 8.6/10,2008,"{""itunes""=>[""764632601""]}",Action & Adventure,"[""Christian Bale"", ""Michael Caine"", ""Heath Ledger"", ""Aaron Eckhart"", ""Maggie Gyllenhaal"", ""Morgan Freeman"", ""Gary Oldman""]","[""Christopher Nolan"", ""Charles Roven"", ""Emma Thomas""]","[""Christopher Nolan""]"
The Hunger Games: Mockingjay - Part 1,Average Rating: 6.3/10,2014,"{""itunes""=>[""938538816""]}",Action & Adventure,"[""Jennifer Lawrence"", ""Josh Hutcherson"", ""Liam Hemsworth"", ""Woody Harrelson"", ""Elizabeth Banks"", ""Julianne Moore"", ""Philip Seymour Hoffman"", ""Jeffrey Wright"", ""Stanley Tucci"", ""Donald Sutherland""]","[""Nina Jacobson"", ""Jon Kilik""]","[""Francis Lawrence""]"
Harry Potter and the Prisoner of Azkaban,Average Rating: 7.9/10,2004,"{""itunes""=>[""285825306""]}",Kids & Family,"[""Daniel Radcliffe"", ""Rupert Grint"", ""Emma Watson"", ""Robbie Coltrane"", ""Michael Gambon"", ""Richard Griffiths"", ""Gary Oldman"", ""Alan Rickman"", ""Fiona Shaw"", ""Maggie Smith"", ""Timothy Spall"", ""David Thewlis"", """", """"]","[""David Heyman"", ""Chris Columbus"", ""Mark Radcliffe""]","[""Alfonso Cuarón""]"
Rogue One: A Star Wars Story,Average Rating: 7.5/10,2016,"{""itunes""=>[""1179624268""]}",Action & Adventure,"[""Felicity Jones"", ""Diego Luna"", ""Ben Mendelsohn"", ""甄子丹"", ""Mads Mikkelsen"", ""Alan Tudyk"", ""Riz Ahmed"", ""Jimmy Smits"", ""James Earl Jones"", ""Jiang Wen"", ""Forest Whitaker""]","[""Kathleen Kennedy"", ""Allison Shearmur"", ""Simon Emanuel""]","[""Gareth Edwards""]"
Mission: Impossible – Rogue Nation,Average Rating: 7.5/10,2015,"{""itunes""=>[""1015157093""]}",Action & Adventure,"[""Tom Cruise"", ""Jeremy Renner"", ""Simon Pegg"", ""Rebecca Ferguson"", ""Ving Rhames"", ""Sean Harris"", ""Alec Baldwin""]","[""Tom Cruise"", ""J.J. Abrams"", ""Bryan Burk"", ""David Ellison"", ""Dana Goldberg"", ""Don Granger""]","[""Christopher McQuarrie""]"
War for the Planet of the Apes,Average Rating: 8.1/10,2017,"{""itunes""=>[""1250267769""]}",Action & Adventure,"[""Andy Serkis"", ""Woody Harrelson"", ""Steve Zahn""]","[""Peter Chernin"", ""Dylan Clark"", ""Rick Jaffa"", ""Amanda Silver""]","[""Matt Reeves""]"
Jason Bourne,Average Rating: 5.9/10,2016,"{""itunes""=>[""1135595430""]}",Action & Adventure,"[""Matt Damon"", ""Tommy Lee Jones"", ""Alicia Vikander"", ""Vincent Cassel"", ""Julia Stiles"", ""Riz Ahmed""]","[""Matt Damon"", ""Paul Greengrass"", ""Frank Marshall"", ""Jeffrey M. Weiner"", ""Ben Smith"", ""Gregory Goodman""]","[""Paul Greengrass""]"
Jurassic World,Average Rating: 6.7/10,2015,"{""itunes""=>[""973589977""]}",Action & Adventure,"[""Chris Pratt"", ""Bryce Dallas Howard"", ""Vincent D'Onofrio"", ""Ty Simpkins"", ""Nick Robinson"", ""Omar Sy"", ""B.D. Wong"", ""Irrfan Khan""]","[""Frank Marshall"", ""Patrick Crowley""]","[""Colin Trevorrow""]"
We're the Millers,Average Rating: 5.4/10,2013,"{""itunes""=>[""687505681""]}",Comedy,"[""Jennifer Aniston"", ""Jason Sudeikis"", ""Emma Roberts"", ""Nick Offerman"", ""Kathryn Hahn"", ""Ed Helms"", ""Will Poulter"", ""Molly Quinn""]","[""Vincent Newman"", ""Tucker Tooley"", ""Happy Walters"", ""Chris Bender""]","[""Rawson Marshall Thurber""]"
Live Die Repeat: Edge of Tomorrow,Average Rating: 7.5/10,2014,"{""itunes""=>[""878682651""]}",Action & Adventure,"[""Tom Cruise"", ""Emily Blunt"", ""Bill Paxton"", ""Brendan Gleeson"", ""Kick Gurry"", ""Dragomir Mrsic"", ""Charlotte Riley"", ""Jonas Armstrong"", ""Franz Drameh""]","[""Erwin Stoff"", ""Tom Lassally"", ""Jeffrey Silver"", ""Gregory Jacobs"", ""Jason Hoffs""]","[""Doug Liman""]"
Guardians of the Galaxy Vol. 2,Average Rating: 7.2/10,2017,"{""itunes""=>[""1225848804""]}",Action & Adventure,"[""Chris Pratt"", ""Zoe Saldana"", ""Dave Bautista"", ""Vin Diesel"", ""Bradley Cooper"", ""Michael Rooker"", ""Karen Gillan"", ""Pom Klementieff"", ""Sylvester Stallone"", ""Kurt Russell"", ""Elizabeth Debicki"", ""Chris Sullivan"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","[""Kevin Feige""]","[""James Gunn""]"
The Hitman's Bodyguard,Average Rating: 5.2/10,2017,"{""itunes""=>[""1266502939""]}",Action & Adventure,"[""Ryan Reynolds"", ""Samuel L. Jackson"", ""Gary Oldman"", ""Salma Hayek"", ""Elodie Yung""]","[""David Ellison"", ""Mark Gill"", ""Dana Goldberg"", ""Matthew O'Toole""]","[""Patrick Hughes""]"
American Sniper,Average Rating: 6.9/10,2014,"{""itunes""=>[""948537335""]}",Drama,"[""Bradley Cooper"", ""Sienna Miller"", ""Jake McDorman"", ""Luke Grimes"", ""Navid Negahban"", ""Keir O'Donnell""]","[""Bradley Cooper"", ""Clint Eastwood"", ""Robert Lorenz"", ""Andrew Lazar"", ""Peter Morgan""]","[""Clint Eastwood""]"
Harry Potter and the Half-Blood Prince,Average Rating: 7.1/10,2009,"{""itunes""=>[""326568786""]}",Kids & Family,"[""Daniel Radcliffe"", ""Rupert Grint"", ""Emma Watson"", ""Jim Broadbent"", ""Helena Bonham Carter"", ""Robbie Coltrane"", ""Warwick Davis"", ""Michael Gambon"", ""Alan Rickman"", ""Maggie Smith"", ""Timothy Spall"", """", """", """", """", """", """", """", """"]","[""David Heyman"", ""David Barron""]","[""David Yates""]"
Mission: Impossible - Ghost Protocol,Average Rating: 7.7/10,2011,"{""itunes""=>[""501587325""]}",Action & Adventure,"[""Josh Holloway"", ""Paula Patton"", ""Tom Cruise"", ""Léa Seydoux"", ""Simon Pegg"", ""Jeremy Renner"", ""Anil Kapoor"", ""Michael Nyqvist"", ""Vladimir Mashkov""]","[""Bryan Burk"", ""J.J. Abrams""]","[""Brad Bird""]"
The Hunger Games: Mockingjay - Part 2,Average Rating: 6.5/10,2015,"{""itunes""=>[""1055440915""]}",Action & Adventure,"[""Jennifer Lawrence"", ""Josh Hutcherson"", ""Liam Hemsworth"", ""Woody Harrelson"", ""Philip Seymour Hoffman"", ""Elizabeth Banks"", ""Julianne Moore""]","[""Nina Jacobson"", ""Jon Kilik""]","[""Francis Lawrence""]"
Back to the Future,Average Rating: 8.7/10,1985,"{""itunes""=>[""380239015""]}",Comedy,"[""Michael J. Fox"", ""Christopher Lloyd"", ""Lea Thompson"", ""Thomas F. Wilson"", ""Crispin Glover"", ""Claudia Wells"", ""Billy Zane"", ""Casey Siemaszko""]","[""Bob Gale"", ""Neil Canton""]","[""Robert Zemeckis""]"
Now You See Me,Average Rating: 5.7/10,2013,"{""itunes""=>[""664964215""]}",Action & Adventure,"[""Jesse Eisenberg"", ""Mark Ruffalo"", ""Woody Harrelson"", ""Melanie Laurent"", ""Isla Fisher"", ""Dave Franco"", ""Common"", ""Michael Caine"", ""Morgan Freeman""]","[""Alex Kurtzman"", ""Roberto Orci"", ""Bobby Cohen""]","[""Louis Leterrier""]"
The Revenant,Average Rating: 7.9/10,2015,"{""itunes""=>[""1067140154""]}",Drama,"[""Leonardo DiCaprio"", ""Tom Hardy"", ""Domhnall Gleeson"", ""Will Poulter""]",[],"[""Alejandro González Iñárritu""]"
Lone Survivor,Average Rating: 6.6/10,2013,"{""itunes""=>[""773233393""]}",Action & Adventure,"[""Mark Wahlberg"", ""Taylor Kitsch"", ""Emile Hirsch"", ""Ben Foster"", ""Eric Bana""]","[""Mark Wahlberg"", ""Peter Berg"", ""Sarah Aubrey"", ""Randall Emmett"", ""Norton Herrick"", ""Barry Spikings"", ""Akiva Goldsman"", ""Stephen Levinson"", ""Vitaly Grigoriants""]","[""Peter Berg""]"
Harry Potter and the Goblet of Fire,Average Rating: 7.5/10,2005,"{""itunes""=>[""285832716""]}",Kids & Family,"[""Daniel Radcliffe"", ""Rupert Grint"", ""Emma Watson"", ""Robbie Coltrane"", ""Ralph Fiennes"", ""Michael Gambon"", ""Brendan Gleeson"", ""Jason Isaacs"", ""Gary Oldman"", ""Alan Rickman"", ""Maggie Smith"", ""Timothy Spall"", """"]","[""David Heyman""]","[""Mike Newell""]"
Big Hero 6,Average Rating: 7.3/10,2014,"{""itunes""=>[""929423754""]}",Kids & Family,"[""Scott Adsit"", ""Ryan Potter"", ""Daniel Henney"", ""T.J. Miller"", ""Jamie Chung"", ""Damon Wayans Jr."", ""Génesis Rodríguez"", ""James Cromwell"", ""Alan Tudyk"", ""Maya Rudolph"", ""Abraham Benrubi"", ""Katie Lowes"", """", """", """", """", """"]","[""Roy Conli""]","[""Don Hall"", ""Chris Williams""]"
The Matrix Reloaded,Average Rating: 6.8/10,2013,"{""itunes""=>[""283218560""]}",Action & Adventure,"[""Keanu Reeves"", ""Laurence Fishburne"", ""Carrie-Anne Moss"", ""Hugo Weaving"", ""Jada Pinkett Smith"", ""Nona Gaye"", ""Daniel Bernhardt"", ""Matt McColm"", ""Harold Perrineau"", ""Harry Lennix"", ""Monica Bellucci""]","[""Joel Silver""]","[""Andy Wachowski"", ""Larry Wachowski""]"
Star Trek,Average Rating: 8.1/10,2009,"{""itunes""=>[""317909453""]}",Sci-Fi & Fantasy,"[""Chris Pine"", ""Zachary Quinto"", ""Simon Pegg"", ""Karl Urban"", ""Zoe Saldana"", ""Eric Bana"", ""John Cho"", ""Anton Yelchin"", ""Winona Ryder"", ""Chris Hemsworth""]","[""J.J. Abrams"", ""Alex Kurtzman"", ""Roberto Orci"", ""Bryan Burk"", ""Stratton Leopold"", ""Damon Lindelof""]","[""J.J. Abrams""]"
Divergent,Average Rating: 5.4/10,2014,"{""itunes""=>[""834328078""]}",Action & Adventure,"[""Shailene Woodley"", ""Theo James"", ""Miles Teller"", ""Maggie Q"", ""Ashley Judd"", ""Mekhi Phifer""]","[""Evan Daugherty"", ""Douglas Wick""]","[""Neil Burger""]"
