The Interview,Average Rating: 7.5/10,2016,Action & Adventure,"[""Felicity Jones"", ""Diego Luna"", ""Ben Mendelsohn"", ""甄子丹"", ""Mads Mikkelsen"", ""Alan Tudyk"", ""Riz Ahmed"", ""Jimmy Smits"", ""James Earl Jones"", ""Jiang Wen"", ""Forest Whitaker""]","[""Kathleen Kennedy"", ""Allison Shearmur"", ""Simon Emanuel""]","[""Gareth Edwards""]"
Star Trek Into Darkness,Average Rating: 5.6/10,2014,Comedy,"[""James Franco"", ""Seth Rogen"", ""Lizzy Caplan"", ""Randall Park"", ""Diana Bang"", ""Timothy Simons""]","[""Seth Rogen"", ""Evan Goldberg"", ""James Weaver""]","[""Seth Rogen"", ""Evan Goldberg""]"
Zootopia,Average Rating: 7.5/10,2013,Sci-Fi & Fantasy,"[""John Cho"", ""Benedict Cumberbatch"", ""Alice Eve"", ""Bruce Greenwood"", ""Simon Pegg"", ""Chris Pine"", ""Zachary Quinto"", ""Zoe Saldana"", ""Karl Urban"", ""Peter Weller"", ""Anton Yelchin""]","[""J.J. Abrams"", ""Bryan Burk"", ""Damon Lindelof"", ""Alex Kurtzman"", ""Roberto Orci""]","[""J.J. Abrams""]"
Jason Bourne,Average Rating: 8.0/10,2016,Kids & Family,"[""Ginnifer Goodwin"", ""Jason Bateman"", ""Idris Elba"", ""Jenny Slate"", ""Nate Torrence"", ""Bonnie Hunt"", ""Don Lake"", ""Tommy Chong"", ""J.K. Simmons"", ""Octavia Spencer"", ""Alan Tudyk"", ""Shakira"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","[""Clark Spencer""]","[""Rich Moore"", ""Byron Howard""]"
We're the Millers (2013),Average Rating: 5.9/10,2016,Action & Adventure,"[""Matt Damon"", ""Tommy Lee Jones"", ""Alicia Vikander"", ""Vincent Cassel"", ""Julia Stiles"", ""Riz Ahmed""]","[""Matt Damon"", ""Paul Greengrass"", ""Frank Marshall"", ""Jeffrey M. Weiner"", ""Ben Smith"", ""Gregory Goodman""]","[""Paul Greengrass""]"
Now You See Me,Average Rating: 5.4/10,2013,Comedy,"[""Jennifer Aniston"", ""Jason Sudeikis"", ""Emma Roberts"", ""Nick Offerman"", ""Kathryn Hahn"", ""Ed Helms"", ""Will Poulter"", ""Molly Quinn""]","[""Vincent Newman"", ""Tucker Tooley"", ""Happy Walters"", ""Chris Bender""]","[""Rawson Marshall Thurber""]"
Inception,Average Rating: 5.7/10,2013,Action & Adventure,"[""Jesse Eisenberg"", ""Mark Ruffalo"", ""Woody Harrelson"", ""Melanie Laurent"", ""Isla Fisher"", ""Dave Franco"", ""Common"", ""Michael Caine"", ""Morgan Freeman""]","[""Alex Kurtzman"", ""Roberto Orci"", ""Bobby Cohen""]","[""Louis Leterrier""]"
The Lord of the Rings: The Fellowship of the Ring (Special Extended Edition),Average Rating: 8.1/10,2010,Action & Adventure,"[""Leonardo DiCaprio"", ""Ken Watanabe"", ""Joseph Gordon-Levitt"", ""Marion Cotillard"", ""Ellen Page"", ""Tom Hardy"", ""Cillian Murphy"", ""Tom Berenger"", ""Michael Caine""]","[""Emma Thomas"", ""Christopher Nolan""]","[""Christopher Nolan""]"
Sicario,Average Rating: 8.2/10,2001,Action & Adventure,"[""Elijah Wood"", ""Ian McKellen"", ""Liv Tyler"", ""Viggo Mortensen"", ""Sean Astin"", ""Cate Blanchett"", ""John Rhys-Davies"", ""Billy Boyd"", ""Dominic Monaghan"", ""Orlando Bloom"", ""Christopher Lee"", ""Hugo Weaving"", """", """", """"]","[""Barrie M. Osborne"", ""Peter Jackson"", ""Fran Walsh"", ""Tim Sanders""]","[""Peter Jackson""]"
The Lord of the Rings: The Return of the King (Special Extended Edition),Average Rating: 8.0/10,2015,Thriller,"[""Emily Blunt"", ""Benicio Del Toro"", ""Josh Brolin"", ""Victor Garber"", ""Jon Bernthal""]","[""Basil Iwanyk""]","[""Denis Villeneuve""]"
Sherlock Holmes (2009),Average Rating: 8.7/10,2003,Action & Adventure,"[""Elijah Wood"", ""Liv Tyler"", ""Viggo Mortensen"", ""Sean Astin"", ""Cate Blanchett"", ""John Rhys-Davies"", ""Bernard Hill"", ""Christopher Lee"", ""Billy Boyd"", ""Dominic Monaghan"", ""Orlando Bloom"", ""Hugo Weaving"", """", """", """", """", """"]","[""Barrie M. Osborne"", ""Fran Walsh"", ""Peter Jackson""]","[""Peter Jackson""]"
The Lord of the Rings: The Two Towers (Extended Edition),Average Rating: 6.2/10,2009,Action & Adventure,"[""Robert Downey Jr."", ""Jude Law"", ""Rachel McAdams"", ""Mark Strong"", ""Eddie Marsan"", ""Kelly Reilly""]","[""Susan Downey"", ""Dan Lin"", ""Joel Silver"", ""Lionel Wigram""]","[""Guy Ritchie""]"
The Dark Knight,Average Rating: 8.5/10,2002,Action & Adventure,"[""Elijah Wood"", ""Ian McKellen"", ""Liv Tyler"", ""Viggo Mortensen"", ""Sean Astin"", ""Cate Blanchett"", ""John Rhys-Davies"", ""Bernard Hill"", ""Christopher Lee"", ""Billy Boyd"", ""Dominic Monaghan"", ""Orlando Bloom"", """", """", """", """", """", """"]","[""Barrie M. Osborne"", ""Fran Walsh"", ""Peter Jackson""]","[""Peter Jackson""]"
Sherlock Holmes: A Game of Shadows,Average Rating: 8.6/10,2008,Action & Adventure,"[""Christian Bale"", ""Michael Caine"", ""Heath Ledger"", ""Aaron Eckhart"", ""Maggie Gyllenhaal"", ""Morgan Freeman"", ""Gary Oldman""]","[""Christopher Nolan"", ""Charles Roven"", ""Emma Thomas""]","[""Christopher Nolan""]"
American Sniper,Average Rating: 6.0/10,2011,Action & Adventure,"[""Robert Downey Jr."", ""Jude Law"", ""Noomi Rapace"", ""Jared Harris"", ""Eddie Marsan"", ""Rachel McAdams""]","[""Joel Silver"", ""Lionel Wigram"", ""Susan Downey"", ""Dan Lin""]","[""Guy Ritchie""]"
The Hunger Games: Mockingjay - Part 2,Average Rating: 6.9/10,2014,Drama,"[""Bradley Cooper"", ""Sienna Miller"", ""Jake McDorman"", ""Luke Grimes"", ""Navid Negahban"", ""Keir O'Donnell""]","[""Bradley Cooper"", ""Clint Eastwood"", ""Robert Lorenz"", ""Andrew Lazar"", ""Peter Morgan""]","[""Clint Eastwood""]"
