Series Title,Genre,Season Number,Episode Number,Episode Title,Release_Year,Episode link
"24, Season 5",Drama,Season 5,2,Day 5: 8:00 A.M. - 9:00 A.M.,2006,https://itunes.apple.com/us/tv-season/day-5-8-00-a-m-9-00-a-m/id151788971?i=151960148
"24, Season 5",Drama,Season 5,3,Day 5: 9:00 A.M. - 10:00 A.M.,2006,https://itunes.apple.com/us/tv-season/day-5-9-00-a-m-10-00-a-m/id151788971?i=151960165
"24, Season 5",Drama,Season 5,4,Day 5: 10:00 A.M. - 11:00 A.M.,2006,https://itunes.apple.com/us/tv-season/day-5-10-00-a-m-11-00-a-m/id151788971?i=151960167
"24, Season 5",Drama,Season 5,5,Day 5: 11:00 A.M. - 12:00 P.M.,2006,https://itunes.apple.com/us/tv-season/day-5-11-00-a-m-12-00-p-m/id151788971?i=151960170
"24, Season 5",Drama,Season 5,6,Day 5: 12:00 P.M. - 1:00 P.M.,2006,https://itunes.apple.com/us/tv-season/day-5-12-00-p-m-1-00-p-m/id151788971?i=151960172
"24, Season 5",Drama,Season 5,7,Day 5: 1:00 P.M. - 2:00 P.M.,2006,https://itunes.apple.com/us/tv-season/day-5-1-00-p-m-2-00-p-m/id151788971?i=151960224
"24, Season 5",Drama,Season 5,8,Day 5: 2:00 P.M. - 3:00 P.M.,2006,https://itunes.apple.com/us/tv-season/day-5-2-00-p-m-3-00-p-m/id151788971?i=151960249
"24, Season 5",Drama,Season 5,9,Day 5: 3:00 P.M. - 4:00 P.M.,2006,https://itunes.apple.com/us/tv-season/day-5-3-00-p-m-4-00-p-m/id151788971?i=151960251
"24, Season 5",Drama,Season 5,10,Day 5: 4:00 P.M. - 5:00 P.M.,2006,https://itunes.apple.com/us/tv-season/day-5-4-00-p-m-5-00-p-m/id151788971?i=151960256
"24, Season 5",Drama,Season 5,11,Day 5: 5:00 P.M. - 6:00 P.M.,2006,https://itunes.apple.com/us/tv-season/day-5-5-00-p-m-6-00-p-m/id151788971?i=151960272
"24, Season 5",Drama,Season 5,12,Day 5: 6:00 P.M. - 7:00 P.M.,2006,https://itunes.apple.com/us/tv-season/day-5-6-00-p-m-7-00-p-m/id151788971?i=151960277
"24, Season 5",Drama,Season 5,13,Day 5: 7:00 P.M. - 8:00 P.M.,2006,https://itunes.apple.com/us/tv-season/day-5-7-00-p-m-8-00-p-m/id151788971?i=151960279
"24, Season 5",Drama,Season 5,14,Day 5: 8:00 P.M. - 9:00 P.M.,2006,https://itunes.apple.com/us/tv-season/day-5-8-00-p-m-9-00-p-m/id151788971?i=151960281
"24, Season 5",Drama,Season 5,15,Day 5: 9:00 P.M. - 10:00 P.M.,2006,https://itunes.apple.com/us/tv-season/day-5-9-00-p-m-10-00-p-m/id151788971?i=151960283
"24, Season 5",Drama,Season 5,16,Day 5: 10:00 P.M. - 11:00 P.M.,2006,https://itunes.apple.com/us/tv-season/day-5-10-00-p-m-11-00-p-m/id151788971?i=151960285
"24, Season 5",Drama,Season 5,17,Day 5: 11:00 P.M. - 12:00 A.M.,2006,https://itunes.apple.com/us/tv-season/day-5-11-00-p-m-12-00-a-m/id151788971?i=151960291
"24, Season 5",Drama,Season 5,18,Day 5: 12:00 A.M. - 1:00 A.M.,2006,https://itunes.apple.com/us/tv-season/day-5-12-00-a-m-1-00-a-m/id151788971?i=151960293
"24, Season 5",Drama,Season 5,19,Day 5: 1:00 A.M. - 2:00 A.M.,2006,https://itunes.apple.com/us/tv-season/day-5-1-00-a-m-2-00-a-m/id151788971?i=151960299
"24, Season 5",Drama,Season 5,20,Day 5: 2:00 A.M. - 3:00 A.M.,2006,https://itunes.apple.com/us/tv-season/day-5-2-00-a-m-3-00-a-m/id151788971?i=151960303
"24, Season 5",Drama,Season 5,21,Day 5: 3:00 A.M. - 4:00 A.M.,2006,https://itunes.apple.com/us/tv-season/day-5-3-00-a-m-4-00-a-m/id151788971?i=151960305
"24, Season 5",Drama,Season 5,22,Day 5: 4:00 A.M. - 5:00 A.M.,2006,https://itunes.apple.com/us/tv-season/day-5-4-00-a-m-5-00-a-m/id151788971?i=151960310
"24, Season 5",Drama,Season 5,23,Day 5: 5:00 A.M. - 6:00 A.M.,2006,https://itunes.apple.com/us/tv-season/day-5-5-00-a-m-6-00-a-m/id151788971?i=151960313
"24, Season 5",Drama,Season 5,24,Day 5: 6:00 A.M. - 7:00 A.M.,2006,https://itunes.apple.com/us/tv-season/day-5-6-00-a-m-7-00-a-m/id151788971?i=151960315
"24, Season 8",Drama,Season 8,1,Day 8: 4:00 P.M. - 5:00 P.M.,2010,https://itunes.apple.com/us/tv-season/day-8-4-00-p-m-5-00-p-m/id344728605?i=350555098
"24, Season 8",Drama,Season 8,2,Day 8: 5:00 P.M. - 6:00 P.M.,2010,https://itunes.apple.com/us/tv-season/day-8-5-00-p-m-6-00-p-m/id344728605?i=350542273
"24, Season 8",Drama,Season 8,3,Day 8: 6:00 P.M. - 7:00 P.M.,2010,https://itunes.apple.com/us/tv-season/day-8-6-00-p-m-7-00-p-m/id344728605?i=350562780
"24, Season 8",Drama,Season 8,4,Day 8: 7:00 P.M. - 8:00 P.M.,2010,https://itunes.apple.com/us/tv-season/day-8-7-00-p-m-8-00-p-m/id344728605?i=350616119
"24, Season 8",Drama,Season 8,5,Day 8: 8:00 P.M. - 9:00 P.M.,2010,https://itunes.apple.com/us/tv-season/day-8-8-00-p-m-9-00-p-m/id344728605?i=352192877
"24, Season 8",Drama,Season 8,6,Day 8: 9:00 P.M. - 10:00 P.M.,2010,https://itunes.apple.com/us/tv-season/day-8-9-00-p-m-10-00-p-m/id344728605?i=353018410
"24, Season 8",Drama,Season 8,7,Day 8: 10:00 P.M. - 11:00 P.M.,2010,https://itunes.apple.com/us/tv-season/day-8-10-00-p-m-11-00-p-m/id344728605?i=354619899
"24, Season 8",Drama,Season 8,8,Day 8: 11:00 P.M. - 12:00 A.M.,2010,https://itunes.apple.com/us/tv-season/day-8-11-00-p-m-12-00-a-m/id344728605?i=356014975
"24, Season 8",Drama,Season 8,9,Day 8: 12:00 A.M. - 1:00 A.M.,2010,https://itunes.apple.com/us/tv-season/day-8-12-00-a-m-1-00-a-m/id344728605?i=357000944
"24, Season 8",Drama,Season 8,10,Day 8: 1:00 A.M. - 2:00 A.M.,2010,https://itunes.apple.com/us/tv-season/day-8-1-00-a-m-2-00-a-m/id344728605?i=358660546
"24, Season 8",Drama,Season 8,11,Day 8: 2:00 A.M. - 3:00 A.M.,2010,https://itunes.apple.com/us/tv-season/day-8-2-00-a-m-3-00-a-m/id344728605?i=360039136
"24, Season 8",Drama,Season 8,12,Day 8: 3:00 A.M. - 4:00 A.M.,2010,https://itunes.apple.com/us/tv-season/day-8-3-00-a-m-4-00-a-m/id344728605?i=361576698
"24, Season 8",Drama,Season 8,13,Day 8: 4:00 A.M. - 5:00 A.M.,2010,https://itunes.apple.com/us/tv-season/day-8-4-00-a-m-5-00-a-m/id344728605?i=363366446
"24, Season 8",Drama,Season 8,14,Day 8: 5:00 A.M - 6:00 A.M.,2010,https://itunes.apple.com/us/tv-season/day-8-5-00-a-m-6-00-a-m/id344728605?i=364532190
"24, Season 8",Drama,Season 8,15,Day 8: 6:00 A.M. - 7:00 A.M.,2010,https://itunes.apple.com/us/tv-season/day-8-6-00-a-m-7-00-a-m/id344728605?i=365653665
"24, Season 8",Drama,Season 8,16,Day 8: 7:00 A.M. - 8:00 A.M.,2010,https://itunes.apple.com/us/tv-season/day-8-7-00-a-m-8-00-a-m/id344728605?i=365655294
"24, Season 8",Drama,Season 8,17,Day 8: 8:00 A.M. - 9:00 A.M.,2010,https://itunes.apple.com/us/tv-season/day-8-8-00-a-m-9-00-a-m/id344728605?i=366951959
"24, Season 8",Drama,Season 8,18,Day 8: 9:00 A.M. - 10:00 A.M.,2010,https://itunes.apple.com/us/tv-season/day-8-9-00-a-m-10-00-a-m/id344728605?i=368293536
"24, Season 8",Drama,Season 8,19,Day 8: 10:00 A.M. - 11:00 A.M.,2010,https://itunes.apple.com/us/tv-season/day-8-10-00-a-m-11-00-a-m/id344728605?i=369305352
"24, Season 8",Drama,Season 8,20,Day 8: 11:00 A.M. - 12:00 P.M.,2010,https://itunes.apple.com/us/tv-season/day-8-11-00-a-m-12-00-p-m/id344728605?i=370725849
"24, Season 8",Drama,Season 8,21,Day 8: 12 Noon - 1:00 P.M.,2010,https://itunes.apple.com/us/tv-season/day-8-12-noon-1-00-p-m/id344728605?i=371589467
"24, Season 8",Drama,Season 8,22,Day 8: 1:00 P.M. - 2:00 P.M.,2010,https://itunes.apple.com/us/tv-season/day-8-1-00-p-m-2-00-p-m/id344728605?i=372567957
"24, Season 8",Drama,Season 8,23,Day 8: 2:00 P.M. - 3:00 P.M.,2010,https://itunes.apple.com/us/tv-season/day-8-2-00-p-m-3-00-p-m/id344728605?i=373845541
"24, Season 8",Drama,Season 8,24,Day 8: 3:00 P.M. - 4:00 P.M.,2010,https://itunes.apple.com/us/tv-season/day-8-3-00-p-m-4-00-p-m/id344728605?i=373864666
"Castle, Season 2",Drama,Season 2,1,Deep In Death,2009,https://itunes.apple.com/us/tv-season/deep-in-death/id329362510?i=332655113
"Castle, Season 2",Drama,Season 2,2,The Double Down,2009,https://itunes.apple.com/us/tv-season/the-double-down/id329362510?i=333369457
"Castle, Season 2",Drama,Season 2,3,Inventing the Girl,2009,https://itunes.apple.com/us/tv-season/inventing-the-girl/id329362510?i=334786596
"Castle, Season 2",Drama,Season 2,4,Fool Me Once,2009,https://itunes.apple.com/us/tv-season/fool-me-once/id329362510?i=335628759
"Castle, Season 2",Drama,Season 2,5,When the Bough Breaks,2009,https://itunes.apple.com/us/tv-season/when-the-bough-breaks/id329362510?i=336675355
"Castle, Season 2",Drama,Season 2,6,Vampire Weekend,2009,https://itunes.apple.com/us/tv-season/vampire-weekend/id329362510?i=337597615
"Castle, Season 2",Drama,Season 2,7,Famous Last Words,2009,https://itunes.apple.com/us/tv-season/famous-last-words/id329362510?i=338647146
