Movie Title,Release Year,Genre,Actors,Producers,Directors
The Secret Life of Pets,2014,Action & Adventure,"[""Jennifer Lawrence"", ""Josh Hutcherson"", ""Liam Hemsworth"", ""Woody Harrelson"", ""Elizabeth Banks"", ""Julianne Moore"", ""Philip Seymour Hoffman"", ""Jeffrey Wright"", ""Stanley Tucci"", ""Donald Sutherland""]","[""Nina Jacobson"", ""Jon Kilik""]","[""Francis Lawrence""]"
Rogue One: A Star Wars Story,2016,Kids & Family,"[""Louis C.K."", ""Eric Stonestreet"", ""Kevin Hart"", ""Jenny Slate"", ""Ellie Kemper"", ""Lake Bell"", ""Dana Carvey"", ""Hannibal Buress"", ""Bobby Moynihan"", ""Steve Coogan"", ""Albert Brooks""]","[""Chris Meledandri"", ""Janet Healy""]","[""Chris Renaud""]"
The Interview,2016,Action & Adventure,"[""Felicity Jones"", ""Diego Luna"", ""Ben Mendelsohn"", ""甄子丹"", ""Mads Mikkelsen"", ""Alan Tudyk"", ""Riz Ahmed"", ""Jimmy Smits"", ""James Earl Jones"", ""Jiang Wen"", ""Forest Whitaker""]","[""Kathleen Kennedy"", ""Allison Shearmur"", ""Simon Emanuel""]","[""Gareth Edwards""]"
Star Trek Into Darkness,2014,Comedy,"[""James Franco"", ""Seth Rogen"", ""Lizzy Caplan"", ""Randall Park"", ""Diana Bang"", ""Timothy Simons""]","[""Seth Rogen"", ""Evan Goldberg"", ""James Weaver""]","[""Seth Rogen"", ""Evan Goldberg""]"
Jason Bourne,2013,Sci-Fi & Fantasy,"[""John Cho"", ""Benedict Cumberbatch"", ""Alice Eve"", ""Bruce Greenwood"", ""Simon Pegg"", ""Chris Pine"", ""Zachary Quinto"", ""Zoe Saldana"", ""Karl Urban"", ""Peter Weller"", ""Anton Yelchin""]","[""J.J. Abrams"", ""Bryan Burk"", ""Damon Lindelof"", ""Alex Kurtzman"", ""Roberto Orci""]","[""J.J. Abrams""]"
Zootopia,2016,Action & Adventure,"[""Matt Damon"", ""Tommy Lee Jones"", ""Alicia Vikander"", ""Vincent Cassel"", ""Julia Stiles"", ""Riz Ahmed""]","[""Matt Damon"", ""Paul Greengrass"", ""Frank Marshall"", ""Jeffrey M. Weiner"", ""Ben Smith"", ""Gregory Goodman""]","[""Paul Greengrass""]"
We're the Millers (2013),2016,Kids & Family,"[""Ginnifer Goodwin"", ""Jason Bateman"", ""Idris Elba"", ""Jenny Slate"", ""Nate Torrence"", ""Bonnie Hunt"", ""Don Lake"", ""Tommy Chong"", ""J.K. Simmons"", ""Octavia Spencer"", ""Alan Tudyk"", ""Shakira"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","[""Clark Spencer""]","[""Rich Moore"", ""Byron Howard""]"
Inception,2013,Comedy,"[""Jennifer Aniston"", ""Jason Sudeikis"", ""Emma Roberts"", ""Nick Offerman"", ""Kathryn Hahn"", ""Ed Helms"", ""Will Poulter"", ""Molly Quinn""]","[""Vincent Newman"", ""Tucker Tooley"", ""Happy Walters"", ""Chris Bender""]","[""Rawson Marshall Thurber""]"
Now You See Me,2010,Action & Adventure,"[""Leonardo DiCaprio"", ""Ken Watanabe"", ""Joseph Gordon-Levitt"", ""Marion Cotillard"", ""Ellen Page"", ""Tom Hardy"", ""Cillian Murphy"", ""Tom Berenger"", ""Michael Caine""]","[""Emma Thomas"", ""Christopher Nolan""]","[""Christopher Nolan""]"
Mission: Impossible - Ghost Protocol,2013,Action & Adventure,"[""Jesse Eisenberg"", ""Mark Ruffalo"", ""Woody Harrelson"", ""Melanie Laurent"", ""Isla Fisher"", ""Dave Franco"", ""Common"", ""Michael Caine"", ""Morgan Freeman""]","[""Alex Kurtzman"", ""Roberto Orci"", ""Bobby Cohen""]","[""Louis Leterrier""]"
