Scraped date,Type,Movie Title,Release Year,Hash,Cast
01-01-2018,Recently Added,Walter,2015,"{""amazon""=>[""B0756WHD7V""], ""vudu""=>[""642403"", ""642403""], ""itunes""=>[""965024064""]}","[""Anna Mastro"", ""Andrew J. West"", ""Justin Kirk"", ""Virginia Madsen"", ""William H. Macy"", ""Milo Ventimiglia"", ""Neve Campbell"", ""Leven Rambin"", ""Peter Facinelli"", ""Jim Gaffigan"", ""Brian J. White""]"
01-01-2018,Recently Added,Lycan,2017,"{""amazon""=>[""B078PT8HCW""], ""vudu""=>[""895142""]}","[""Bev Land"", ""Vanessa Angel"", ""Parker Croft"", ""Rebekah Graf"", ""Dania Ramirez"", ""Jake Lockett"", ""Gail O'Grady"", ""Presley Melson"", ""Kalia Prescott"", ""Alina Puscau"", ""Craig Tate""]"
01-01-2018,Recently Added,Cranium Intel,2016,{},[]
01-01-2018,Recently Added,Hidden Crimes,2009,"{""amazon""=>[""B078PK6VV1""]}","[""Philippe Gagnon"", ""Tricia Helfer"", ""Jonathan Scarfe"", ""Kristen Holden-Ried"", ""James Gallanders"", ""Jake McLeod"", ""Conrad Pla"", ""Trie Donovan"", ""Éléonore Lamothe"", ""Don Jordan"", ""Kathleen Fee"", ""Leigh Ann Taylor""]"
01-01-2018,Recently Added,Happy Camp,2014,"{""amazon""=>[""B00J8CH4ZA""], ""vudu""=>[""510991""], ""itunes""=>[""808720545""]}","[""Josh Anthony"", ""Josh Anthony"", ""Michael Barbuto"", ""Teddy Gilmore"", ""Anne Taylor""]"
01-01-2018,Recently Added,The Bitter Buddha,2012,"{""amazon""=>[""B078PKV68F""], ""starz""=>[""30642""], ""vudu""=>[""398453"", ""398453""]}","[""Steven Feinartz"", ""Zach Galifianakis"", ""Sarah Silverman"", ""Patton Oswalt"", ""Sean Conroy"", ""Paul Provenza"", ""Dana Gould"", ""Eddie Pepitone"", ""Paul F. Tompkins""]"
01-01-2018,Recently Added,Punk and Its Aftershocks,1980,"{""amazon""=>[""B00ZPODAFI""]}","[""Wolfgang Büld""]"
01-01-2018,Recently Added,Lost & Found: The True Hollywood Story of Silver Screen Cinema Pictures International,2017,"{""amazon""=>[""B078P3G947""]}","["""", ""Jason Bailey"", ""Michael Gingold"", ""Glenn Kenny"", ""Chris Nashawaty"", ""Chris Poggiali"", ""Kristy Puchko"", ""Leif Jonker""]"
01-01-2018,Recently Added,Science Fiction Volume One: The Osiris Child,2017,"{""hulu""=>[""1197131""], ""amazon""=>[""B075KMH25X""], ""itunes""=>[""1282789699""], ""vudu""=>[""896580""]}","[""Shane Abbess"", ""Kellan Lutz"", ""Daniel MacPherson"", ""Isabel Lucas"", ""Luke Ford"", ""Rachel Griffiths"", ""Temuera Morrison"", ""Bren Foster"", ""Luke Hemsworth"", ""Zoe Carides"", ""Zoe Ventoura"", ""Louise Dodge"", ""Dwaine Stevenson""]"
01-01-2018,Recently Added,The Rewrite,2014,"{""hulu""=>[""1198084""], ""vudu""=>[""647463""], ""itunes""=>[""958019446""]}","[""Marc Lawrence"", ""Hugh Grant"", ""Marisa Tomei"", ""Bella Heathcote"", ""J.K. Simmons"", ""Chris Elliott"", ""Allison Janney"", ""Caroline Aaron"", ""Steven Kaplan"", ""Annie Q."", ""Emily Morden"", ""Aja Naomi King"", ""Andrew Keenan-Bolger""]"
01-01-2018,Recently Added,Free Fall,2013,"{""hulu""=>[""1198281""], ""amazon""=>[""B00I8H704G""], ""itunes""=>[""799264407""]}","[""Stephan Lacant"", ""Hanno Koffler"", ""Max Riemelt"", ""Katharina Schüttler"", ""Maren Kroymann"", ""Luis Lamprecht"", ""Vilmar Bieri"", ""Attila Borlan"", ""Oliver Bröcker"", ""Horst Krebs"", ""Shenja Lacher"", ""Hassan Lazouane""]"
01-01-2018,Recently Added,I Am Divine,2013,"{""hulu""=>[""1198277""], ""amazon""=>[""B00JE5MHF8""], ""vudu""=>[""517977""], ""itunes""=>[""839943776""]}","[""Jeffrey Schwarz"", ""Divine"", ""John Waters"", ""Ricki Lake"", ""Lisa Jane Persky"", ""Bruce Vilanch"", ""Mink Stole"", ""John C. Epperson"", ""David DeCoteau"", ""Tab Hunter"", ""Edith Massey"", ""Jayne Mansfield"", ""Helen Hanft""]"
01-01-2018,Recently Added,A Very Sordid Wedding,2017,"{""hulu""=>[""1198285""], ""amazon""=>[""B074PJBTJG""], ""vudu""=>[""888593"", ""888593""]}","[""Del Shores"", ""Bonnie Bedelia"", ""Leslie Jordan"", ""Caroline Rhea"", ""Dale Dickey"", ""Ann Walker"", ""Blake McIver Ewing"", ""Alec Mapa"", ""Lorna Scott"", ""Emerson Collins"", ""Newell Alexander"", ""Whoopi Goldberg""]"
01-01-2018,Recently Added,Eat with Me,2014,"{""hulu""=>[""1198282""], ""amazon""=>[""B00X9LMZ5U""], ""vudu""=>[""667349""], ""itunes""=>[""987097165""]}","[""David Au"", ""Sharon Omi"", ""Teddy Chen Culver"", ""Nicole Sullivan"", ""George Takei"", ""Aidan Bristow"", ""Jamila Alina"", ""Scott Keiji Takeda""]"
01-01-2018,Recently Added,Birthright: A War Story,2017,{},[]
01-01-2018,Recently Added,Five Dances,2013,"{""hulu""=>[""1198276""], ""amazon""=>[""B00LM4XJ38""], ""vudu""=>[""545082"", ""545082""], ""itunes""=>[""886911945""]}","[""Alan Brown"", ""Ryan Steele"", ""Reed Luplau"", ""Catherine Miller"", ""Kimiye Corwin"", ""Luke Murphy"", ""LuLu Roche"", ""Michael Borrelli""]"
01-01-2018,Recently Added,The Circle,2014,"{""hulu""=>[""1198278""], ""amazon""=>[""B00U7AZBR0""], ""vudu""=>[""581787""]}","[""Stefan Haupt"", ""Matthias Hungerbühler"", ""Sven Schelker"", ""Babett Arens"", ""Aaron Hitz"", ""Martin Hug"", ""Peter Jecklin"", ""Ueli Jäggi"", ""Sebastian Ledesma"", ""Marie Leuenberger"", ""Matthias Meier"", ""Markus Merz"", ""Antoine Monot Jr.""]"
01-01-2018,Recently Added,Fun Mom Dinner,2017,"{""netflixusa""=>[""80168234""], ""itunes""=>[""1250654691""], ""vudu""=>[""881263"", ""881263""]}","[""Alethea Jones"", ""Katie Aselton"", ""Toni Collette"", ""Bridget Everett"", ""Molly Shannon"", ""Adam Scott"", ""Rob Huebel"", ""Adam Levine"", ""Paul Rust"", ""Paul Rudd"", ""David Wain"", ""John Early"", ""Jaz Sinclair""]"
01-01-2018,Recently Added,Ghost House,2017,"{""netflixusa""=>[""80184972""], ""amazon""=>[""B074BHRJY5""], ""vudu""=>[""869350""], ""itunes""=>[""1253684212""]}","[""Rich Ragsdale"", ""Scout Taylor-Compton"", ""James Landry Hébert"", ""Mark Boone Junior"", ""Michael S. New"", ""Elana Krausz"", ""Katrina Grey"", ""Russell Geoffrey Banks"", ""Rich Lee Gray""]"
01-01-2018,Recently Added,Born Strong,2017,{},[]
01-01-2018,Recently Added,Aliens: Zone of Silence,2017,{},[]
01-01-2018,Recently Added,Blurred Lines: Inside the Art World,2017,{},[]
01-01-2018,Recently Added,Haze,2015,"{""netflixusa""=>[""80213814""]}","[""Ralston Jover"", ""Zaijan Jaranilla"", ""Therese Malvar"", ""Samuel Quintana"", ""Bon Andrew Lentejas"", ""Kayline Alcantara"", ""Oj Mariano"", ""Anna Luna"", ""Mike Liwag"", ""Lou Veloso"", ""Junjun Quintana"", ""Flor Salanga"", ""Ruby Ruiz""]"
01-01-2018,Recently Added,Numbered,2012,"{""netflixusa""=>[""80208084""]}","[""""]"
01-01-2018,Recently Added,King Arthur: Legend of the Sword,2017,"{""itunes""=>[""1230741267""], ""vudu""=>[""853427""]}","[""Guy Ritchie"", ""Charlie Hunnam"", ""Astrid Bergès-Frisbey"", ""Jude Law"", ""Djimon Hounsou"", ""Eric Bana"", ""Aidan Gillen"", ""Annabelle Wallis"", ""Freddie Fox"", ""Craig McGinlay"", ""Tom Wu"", ""Kingsley Ben-Adir"", ""Mikael Persbrandt""]"
01-01-2018,Recently Added,Office Christmas Party,2016,{},"["""", ""Jason Bateman"", ""Olivia Munn"", ""T.J. Miller"", ""Jennifer Aniston"", ""Kate McKinnon"", ""Jillian Bell"", ""Courtney B. Vance"", ""Rob Corddry"", ""Karan Soni"", ""Vanessa Bayer"", ""Sam Richardson"", ""Randall Park""]"
